"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26704","validate account Registration","chromium","Sat Nov 22 19:18:25 IST 2025","passed","Sat Nov 22 19:18:52 IST 2025","","AccountRegistration.spec.ts","",""
"","8192","execute end-to-end test flow @end-to-end","chromium","Sun Nov 23 12:57:52 IST 2025","passed","Sun Nov 23 12:58:00 IST 2025","","EndToEndTest.spec.ts","",""
